"Wavenumber (cm-1)",FT,FT,FT,UV-FT,UV-FT,UV-FT,UV,UV,UV,H,H,H,C,C,C,"Reference AF Paint","Reference AF Paint","Reference AF Paint"
1204,0.129,0.084,0.158,0.20252184661448,0.18053545041332,0.15605511696798,0.145,0.224,0.173,0.123,0.215,0.142,0.108,0.310,0.138,0.208,,
1206,0.120,0.090,0.148,0.20202508081336,0.16903904679432,0.14774110798365,0.161,0.224,0.181,0.116,0.195,0.141,0.105,0.315,0.123,0.195,,
1208,0.113,0.091,0.142,0.19644406500235,0.15408629494295,0.14221263363225,0.170,0.218,0.169,0.111,0.185,0.131,0.087,0.297,0.111,0.191,,
1210,0.109,0.087,0.142,0.19075755988086,0.15007141228327,0.14203111255118,0.171,0.211,0.158,0.098,0.197,0.134,0.083,0.299,0.107,0.193,,
1212,0.105,0.082,0.139,0.19373435191262,0.13975118335272,0.14092976660197,0.170,0.199,0.151,0.103,0.194,0.132,0.087,0.303,0.101,0.195,,
1214,0.101,0.076,0.135,0.19715688216633,0.12788564750333,0.13966351415717,0.169,0.186,0.143,0.109,0.190,0.130,0.091,0.307,0.093,0.197,,
1216,0.096,0.070,0.130,0.20113335975551,0.11409961366311,0.13819231131047,0.168,0.172,0.135,0.115,0.186,0.128,0.096,0.312,0.085,0.200,,
1218,0.097,0.074,0.119,0.18431622121493,0.10956452577101,0.14153737263306,0.166,0.160,0.140,0.105,0.184,0.128,0.095,0.323,0.099,0.236,,
1220,0.086,0.075,0.123,0.19240925350596,0.10959896574549,0.13843495335116,0.162,0.157,0.127,0.102,0.164,0.115,0.109,0.290,0.089,0.204,,
1222,0.096,0.087,0.134,0.19332983682998,0.12377347192897,0.14617444432131,0.155,0.148,0.126,0.110,0.168,0.120,0.112,0.309,0.092,0.176,,
1224,0.103,0.090,0.137,0.18927052792735,0.12990809727793,0.14685324562072,0.170,0.155,0.140,0.101,0.202,0.122,0.112,0.313,0.095,0.189,,
1226,0.100,0.090,0.121,0.17095331435875,0.11810317624512,0.15210661256703,0.156,0.174,0.141,0.095,0.189,0.123,0.119,0.366,0.104,0.166,,
1228,0.102,0.088,0.110,0.17468239088951,0.10913839235351,0.14448228220359,0.166,0.185,0.137,0.103,0.204,0.118,0.105,0.368,0.098,0.162,,
1230,0.104,0.098,0.120,0.17771739085594,0.12610978247369,0.15851860065448,0.201,0.192,0.139,0.104,0.200,0.127,0.103,0.344,0.092,0.184,,
1232,0.097,0.100,0.137,0.19748142245901,0.13093196719911,0.15965675860414,0.203,0.198,0.145,0.113,0.197,0.143,0.100,0.327,0.102,0.196,,
1234,0.098,0.096,0.131,0.20857651257770,0.13493594556951,0.16188104728267,0.167,0.201,0.144,0.118,0.182,0.146,0.102,0.313,0.111,0.200,,
1236,0.103,0.087,0.140,0.21475266298916,0.13231677596630,0.16615653155906,0.164,0.184,0.136,0.103,0.184,0.138,0.111,0.338,0.110,0.209,,
1238,0.114,0.107,0.139,0.21652618166573,0.14442378185432,0.17998276742522,0.180,0.191,0.129,0.101,0.216,0.124,0.103,0.339,0.104,0.189,,
1240,0.126,0.110,0.142,0.22646027579643,0.15173208185550,0.20293338619549,0.199,0.213,0.135,0.116,0.235,0.136,0.095,0.349,0.121,0.189,,
1242,0.124,0.103,0.140,0.22477940479057,0.14324184985706,0.19475367824300,0.187,0.214,0.146,0.133,0.224,0.143,0.100,0.353,0.120,0.178,,
1244,0.114,0.103,0.146,0.21678196943199,0.14672503300004,0.19233812318095,0.186,0.206,0.157,0.135,0.231,0.154,0.110,0.364,0.132,0.173,,
1246,0.113,0.120,0.154,0.22269370875414,0.14447631405952,0.19990028101243,0.185,0.218,0.163,0.130,0.256,0.169,0.117,0.398,0.143,0.179,,
1248,0.124,0.116,0.158,0.23729077639672,0.13841508215136,0.19704513775682,0.205,0.225,0.170,0.126,0.263,0.167,0.124,0.391,0.144,0.175,,
1250,0.124,0.114,0.154,0.25103453170300,0.14487058762386,0.19773088698236,0.204,0.217,0.172,0.132,0.254,0.162,0.127,0.384,0.146,0.180,,
1252,0.122,0.108,0.153,0.25317508744844,0.15668275287734,0.19480808795965,0.218,0.212,0.167,0.142,0.239,0.171,0.131,0.390,0.134,0.177,,
1254,0.119,0.108,0.157,0.25217910042050,0.15434897809533,0.18924459733598,0.215,0.216,0.176,0.145,0.240,0.180,0.140,0.411,0.128,0.195,,
1256,0.124,0.111,0.159,0.24823024901933,0.15294981350876,0.19113528809005,0.213,0.218,0.174,0.149,0.239,0.189,0.133,0.423,0.135,0.219,,
1258,0.125,0.110,0.162,0.25038935678091,0.15198486030085,0.18960852940479,0.221,0.213,0.169,0.149,0.249,0.181,0.124,0.447,0.140,0.229,,
1260,0.123,0.105,0.162,0.25993302470498,0.15276509554280,0.19035899166645,0.228,0.208,0.167,0.147,0.245,0.181,0.128,0.464,0.143,0.237,,
1262,0.122,0.106,0.161,0.25443877923149,0.15166104689672,0.19510217707115,0.228,0.204,0.171,0.143,0.238,0.186,0.133,0.463,0.148,0.223,,
1264,0.124,0.108,0.163,0.25414719105747,0.15295314577240,0.19988725488787,0.227,0.198,0.171,0.146,0.253,0.178,0.134,0.485,0.146,0.228,,
1266,0.123,0.101,0.167,0.25384079814415,0.15425317817511,0.20352726158032,0.231,0.194,0.176,0.151,0.259,0.178,0.133,0.524,0.144,0.225,,
1268,0.122,0.096,0.165,0.25371620316331,0.15202909843086,0.20001962298902,0.242,0.196,0.183,0.151,0.262,0.180,0.129,0.577,0.144,0.221,,
1270,0.121,0.092,0.167,0.25480707947299,0.15094343418227,0.19550619293449,0.279,0.200,0.194,0.147,0.282,0.179,0.126,0.632,0.139,0.220,,
