# SPCal Export 1.2.4
# Date,Mon Jun 24 22:13:16 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-05-28_Cu_AF_paint\4-10_2.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.92,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041561106,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,1753
# Number error,41.868843
# Number concentration,2.3874873e+09,#/L
# Mass concentration,0.21450778,μg/L
#
# Background,8.3228073,counts
#,10.275436,nm
# Background error,3.9424829,counts
# Ionic background,3.4505835,μg/L
#
# Mean,Cu,
#,147.57323,counts
#,8.984667e-11,μg
#,25.133981,nm
#,8.014323e-16,m³
# Median,Cu,
#,101.84182,counts
#,6.2004121e-11,μg
#,23.6784,nm
#,5.5307676e-16,m³
# Limits of detection,Cu,
#,19.141668,counts
#,1.1653978e-11,μg
#,13.563452,nm
#,1.0395348e-16,m³
#
# Peak composition,count,Cu,,error
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,,cluster idx,cluster idx,cluster idx
s,counts,μg,nm,m³,signal,mass,size
6.6671,102.41683,6.2354205e-11,23.722881,5.5619951e-16,1,1,1
6.68295,22.425039,1.3652985e-11,14.29842,1.2178463e-16,1,1,1
6.6919,125.13355,7.6184774e-11,25.361109,6.7956818e-16,1,1,1
6.72715,91.275146,5.5570838e-11,22.8294,4.9569187e-16,1,1,1
6.74105,143.27524,8.7229934e-11,26.531839,7.7809101e-16,1,1,1
6.7957,264.68387,1.6114687e-10,32.555133,1.4374301e-15,1,1,1
6.821,108.41684,6.6007176e-11,24.177379,5.8878401e-16,1,1,1
6.83215,194.27541,1.1828025e-10,29.366324,1.0550598e-15,1,1,1
6.83435,118.12518,7.1917879e-11,24.878516,6.4150748e-16,1,1,1
6.83985,120.40853,7.330805e-11,25.037794,6.539078e-16,1,1,1
6.8824,69.133446,4.2090357e-11,20.810046,3.7544599e-16,1,1,1
6.90205,150.40858,9.1572913e-11,26.965047,8.1683039e-16,1,1,1
6.92215,162.55862,9.8970194e-11,27.67241,8.8281413e-16,1,1,1
7.0059,89.133476,5.426693e-11,22.649429,4.8406101e-16,1,1,1
7.07685,155.69194,9.4789567e-11,27.277152,8.4552293e-16,1,1,1
7.0921,63.133442,3.8437389e-11,20.189712,3.4286151e-16,1,1,1
7.14425,71.12513,4.3302949e-11,21.007998,3.8626231e-16,1,1,1
7.16095,104.99183,6.3921934e-11,23.920053,5.7018365e-16,1,1,1
7.1893,79.700119,4.852364e-11,21.82043,4.3283087e-16,1,1,1
7.1909,356.55096,2.1707811e-10,35.954301,1.9363367e-15,1,1,1
7.21145,89.558472,5.4525679e-11,22.68537,4.8636905e-16,1,1,1
7.22205,61.275108,3.7305984e-11,19.989642,3.3276937e-16,1,1,1
7.2287,520.70178,3.1701767e-10,40.791843,2.8277976e-15,1,1,1
