X value [cm⁻¹],IR Spectrum 1/O-PTIR (mV) [],out 1/O-PTIR (mV) [],out2/O-PTIR (mV) [],IR Spectrum 6/O-PTIR (mV) [],IR Spectrum 7/O-PTIR (mV) [],IR Spectrum 8/O-PTIR (mV) [],out4/O-PTIR (mV) [],out5/O-PTIR (mV) [],IR Spectrum 16/O-PTIR (mV) []
1475,45.6876754760742,161.76057434082,40.5048561096191,37.0026626586914,17.8199348449707,8.44210720062256,61.6457138061523,90.2370834350586,6.76934194564819
1477,43.5711441040039,154.434555053711,32.3847236633301,34.1412963867188,17.4052867889404,7.99374151229858,57.7738647460938,83.056999206543,5.08173513412476
1479,41.0086631774902,150.604049682617,30.8371315002441,31.493106842041,16.5986251831055,6.98038291931152,56.8881530761719,77.2998733520508,3.24855184555054
1481,39.1292610168457,143.870986938477,29.6971416473389,29.1051483154297,15.5440492630005,6.16090202331543,57.0790939331055,72.6076202392578,2.7512035369873
1483,38.225944519043,139.113708496094,26.9665775299072,27.3929443359375,14.9657373428345,6.40971374511719,55.4130744934082,71.3753509521484,2.40332865715027
1485,37.9690933227539,137.062393188477,26.4738788604736,27.4946899414063,15.2387094497681,6.03652667999268,55.3024139404297,69.9489059448242,3.12149739265442
1487,37.3591156005859,134.037063598633,26.7397232055664,26.4057426452637,14.4572448730469,5.90468740463257,55.4139556884766,69.5229339599609,2.65085124969482
1489,35.6978187561035,128.737930297852,30.5676174163818,22.7552299499512,13.251971244812,5.55729532241821,55.1880378723145,69.5251312255859,3.62768888473511
1491,35.4953269958496,125.377227783203,33.6908988952637,24.9507236480713,13.1007661819458,6.8943247795105,56.432991027832,75.2087783813477,3.88098430633545
1493,37.1154823303223,120.605934143066,36.9622688293457,25.5490169525146,14.3706579208374,6.04002094268799,51.9305114746094,76.7367324829102,3.93134427070618
1495,35.4998931884766,119.667175292969,42.8610687255859,24.1201553344727,14.1673860549927,5.59097480773926,52.2970352172852,76.1665802001953,3.96688675880432
1497,33.8269195556641,118.230819702148,46.3315353393555,22.8381729125977,14.5489892959595,5.65740585327148,54.3150482177734,79.0565185546875,3.73270702362061
1499,34.4071846008301,121.510299682617,54.1428451538086,25.335132598877,14.0841617584229,5.75918531417847,53.1296081542969,80.5788497924805,4.54661703109741
1501,34.0547256469727,125.192527770996,62.8201522827148,27.0900058746338,14.2267026901245,6.00409126281738,53.2603988647461,81.2147903442383,4.60449695587158
1503,33.0061149597168,126.696868896484,65.0748596191406,27.3696517944336,14.275354385376,6.24092674255371,55.4098052978516,79.3255081176758,6.39392280578613
1505,28.5310478210449,124.139869689941,63.9851188659668,25.3057231903076,12.4446964263916,5.52818727493286,55.2354888916016,72.7387084960938,6.70445680618286
1507,26.4119205474854,125.454818725586,64.5947341918945,22.491626739502,11.8219547271729,4.78553628921509,50.3579902648926,73.0141983032227,8.96989631652832
1509,31.0638809204102,140.340209960938,72.0918731689453,28.5158500671387,15.03870677948,6.85939121246338,49.9385414123535,86.275634765625,11.3734006881714
1511,32.0869750976563,148.933624267578,74.4753799438477,31.3169250488281,14.9389934539795,7.80768394470215,53.1541900634766,93.5579452514648,13.7684755325317
1513,32.3475646972656,154.367630004883,76.1281127929688,35.1909637451172,15.3798971176147,8.19010925292969,54.3135871887207,97.9927215576172,13.6140174865723
1515,31.6716918945313,160.975921630859,78.0175628662109,35.919979095459,15.859655380249,8.38351345062256,54.7009620666504,96.6810607910156,13.0132570266724
1517,32.3289833068848,167.529357910156,84.5744781494141,35.1282768249512,16.6660175323486,8.65557289123535,55.6974754333496,99.7930297851563,12.5948209762573
1519,34.028392791748,171.564697265625,89.169303894043,37.0850601196289,17.7716808319092,9.26473903656006,54.432689666748,106.366905212402,12.8431854248047
1521,34.5893669128418,184.497467041016,92.6740188598633,42.5394973754883,15.8478240966797,10.3519296646118,58.9897804260254,114.844917297363,15.0130920410156
1523,42.4792633056641,205.359436035156,98.2405700683594,48.183032989502,18.3066062927246,11.5075340270996,61.9784736633301,117.362670898438,17.8244094848633
1525,46.7707328796387,216.115020751953,107.56322479248,50.6458549499512,20.691385269165,12.5749893188477,68.5273818969727,124.973556518555,19.0777359008789
1527,52.7612953186035,225.954238891602,115.563270568848,54.4530372619629,22.5675868988037,12.9424390792847,74.8059005737305,131.810241699219,20.1108837127686
1529,59.5803527832031,236.170059204102,122.653022766113,55.9050102233887,24.0669536590576,13.7128305435181,75.3278274536133,140.753646850586,20.451847076416
1531,62.0345993041992,241.508117675781,129.953887939453,55.4993743896484,25.0294284820557,13.9640235900879,78.2829513549805,146.120727539063,21.5568809509277
1533,64.7160034179688,249.827346801758,140.677017211914,58.4265747070313,26.885082244873,13.986457824707,84.7415008544922,153.363296508789,23.6356754302979
1535,73.9780960083008,261.79296875,151.0185546875,61.0475120544434,27.2836399078369,14.4384918212891,90.9051055908203,160.645126342773,24.1489753723145
